timestamp,action,price,shares,amount,fee,capital_after,shares_after,portfolio_value
2025-01-14,hold,0.9224296988877585,0,0.0,0.0,3142.932049855308,3924,6762.546188290872
2025-01-15,hold,0.8602726987004111,0,0.0,0.0,3142.932049855308,3924,6518.642119555721
2025-01-16,hold,0.896931762661641,0,0.0,0.0,3142.932049855308,3924,6662.492286539587
2025-01-17,hold,1.0266899454274114,0,0.0,0.0,3142.932049855308,3924,7171.66339571247
2025-01-21,hold,0.9245166816237881,0,0.0,0.0,3142.932049855308,3924,6770.735508547052
2025-01-22,hold,0.8573690886057201,0,0.0,0.0,3142.932049855308,3924,6507.248353544153
2025-01-23,hold,0.819258150367969,0,0.0,0.0,3142.932049855308,3924,6357.701031899218
2025-01-24,hold,0.8384043097072452,0,0.0,0.0,3142.932049855308,3924,6432.8305611465385
2025-01-27,hold,0.8083693702107623,0,0.0,0.0,3142.932049855308,3924,6314.973458562339
2025-01-28,hold,0.8304192781030812,0,0.0,0.0,3142.932049855308,3924,6401.497297131798
2025-01-29,hold,0.8283321569086999,0,0.0,0.0,3142.932049855308,3924,6393.307433565046
2025-01-30,hold,0.7551956863437451,0,0.0,0.0,3142.932049855308,3924,6106.319923068164
2025-01-31,hold,0.691859159457782,0,0.0,0.0,3142.932049855308,3924,5857.787391567645
2025-02-03,hold,0.7015684129163728,0,0.0,0.0,3142.932049855308,3924,5895.886502139155
2025-02-04,hold,0.7943954610597115,0,0.0,0.0,3142.932049855308,3924,6260.139839053616
2025-02-05,hold,0.7718919636070374,0,0.0,0.0,3142.932049855308,3924,6171.836115049322
2025-02-06,hold,0.811273118763805,0,0.0,0.0,3142.932049855308,3924,6326.367767884479
2025-02-07,hold,0.7293348507776731,0,0.0,0.0,3142.932049855308,3924,6004.842004306897
2025-02-10,hold,0.7452143622239522,0,0.0,0.0,3142.932049855308,3924,6067.153207222096
2025-02-11,hold,0.7699863613118091,0,0.0,0.0,3142.932049855308,3924,6164.358531642847
2025-02-12,hold,0.7136367197721954,0,0.0,0.0,3142.932049855308,3924,5943.242538241403
2025-02-13,hold,0.7869547092363033,0,0.0,0.0,3142.932049855308,3924,6230.942328898562
2025-02-14,hold,0.8223434178201648,0,0.0,0.0,3142.932049855308,3924,6369.807621381635
2025-02-18,hold,0.7758844101799435,0,0.0,0.0,3142.932049855308,3924,6187.502475401407
2025-02-19,hold,0.8016546939839665,0,0.0,0.0,3142.932049855308,3924,6288.625069048392
2025-02-20,hold,0.7694419430727015,0,0.0,0.0,3142.932049855308,3924,6162.222234472589
2025-02-21,hold,0.682603634017898,0,0.0,0.0,3142.932049855308,3924,5821.46870974154
