date,price,capital,shares,portfolio_value
2024-11-27,1.1460243805221537,2305.093099579155,2835.153434052907,5554.248057524895
2024-11-29,1.085573691711407,5352.0833997525115,0.0,5352.0833997525115
2024-12-02,1.0995518487872964,3888.0833997525115,1318.137022459204,5337.443399752511
2024-12-03,1.0093296770215228,2838.0833997525115,2348.028467905957,5208.018214901372
2024-12-04,1.0409164672788669,5257.743882656561,0.0,5257.743882656561
2024-12-05,1.084666107309783,3757.7438826565613,1369.0849100864186,5242.743882656561
2024-12-06,1.2013012980972733,2728.7438826565613,2217.090320230837,5392.137362348765
2024-12-09,1.3692197857944124,2054.7438826565613,2704.418948492559,5757.687816009893
2024-12-10,1.3899145937387831,1609.7438826565613,3021.380869739064,5809.205246750063
2024-12-11,1.472784680905776,1265.7438826565613,3252.6163004271075,6056.147342790025
2024-12-12,1.3822902199696085,1010.7438826565613,3435.2479911914033,5759.253584050682
2024-12-13,1.377570310184328,5695.716567034336,0.0,5695.716567034336
2024-12-16,1.3735766895188575,4467.716567034336,885.0761732319786,5683.436567034336
2024-12-17,1.4004435699909208,3501.7165670343356,1567.9598113111624,5697.55580278923
2024-12-18,1.3506127128218228,2759.7165670343356,2111.8462955907667,5612.003021384899
2024-12-19,1.3413544655312142,5564.123681549501,0.0,5564.123681549501
2024-12-20,1.280359198379679,4332.123681549501,952.6076756768963,5551.803681549502
2024-12-23,1.2047504789210248,5468.30168951013,0.0,5468.30168951013
2024-12-24,1.2140087262116335,4120.30168951013,1099.267222044134,5454.82168951013
2024-12-26,1.1744344176252097,3112.30168951013,1948.969840618499,5401.238949246015
2024-12-27,1.14112303695599,5314.075929137721,0.0,5314.075929137721
2024-12-30,1.1439367840494423,3931.075929137721,1196.893061829213,5300.245929137721
2024-12-31,1.1131668613032806,2911.075929137721,2104.0346909087384,5253.217622089819
2025-01-02,1.116252897567127,2135.075929137721,2792.2658271274026,5251.950749446354
2025-01-03,1.1043624754630186,1567.0759291377208,3301.4464743277163,5213.069530134932
2025-01-06,0.8756302928942967,4429.014006995238,0.0,4429.014006995238
2025-01-07,0.8812577870812014,2927.0140069952377,1687.3382814862841,4413.994006995237
2025-01-08,0.9509665846834875,1941.0140069952377,2713.809679873948,4521.756329745955
2025-01-10,0.9569572234302973,1335.0140069952377,3340.7342542550914,4531.953783165674
2025-01-13,0.9179274931846618,921.0140069952377,3787.2401090672506,4397.425826399744
2025-01-14,0.9321779394309453,4416.09187118577,0.0,4416.09187118577
2025-01-15,0.9235551258706358,3009.0918711857703,1508.2261588737156,4402.021871185771
2025-01-16,0.8613798466480133,2042.0918711857703,2619.617380441493,4298.577488626934
2025-01-17,0.898049691250543,4371.112985088808,0.0,4371.112985088808
2025-01-21,1.027846033103671,2926.1129850888083,1391.794056625708,4356.6629850888085
2025-01-22,0.9256427223433473,2081.1129850888083,2295.5444776112463,4205.967024605119
2025-01-23,0.8584753826641194,4032.074724690231,0.0,4032.074724690231
2025-01-24,0.8203532368201079,2637.074724690231,1683.4821123560034,4018.1247246902312
2025-01-27,0.8395050266325552,4036.2335033033996,0.0,4036.2335033033996
2025-01-28,0.8094612545071344,2608.2335033033996,1746.4949583791845,4021.9535033034
2025-01-29,0.8315176468025449,4045.952467467928,0.0,4045.952467467928
2025-01-30,0.8294299118307641,2600.952467467928,1724.7388592996483,4031.502467467928
2025-01-31,0.7562719334047263,1669.9524674679278,2943.4671490704504,3896.014059208735
2025-02-03,0.6929167806100857,3689.134470425717,0.0,3689.134470425717
2025-02-04,0.7026288893510411,2108.134470425717,2227.6197630382576,3673.3244704257177
2025-02-05,0.7954832359303143,1217.1344704257172,3336.492911029113,3871.2586479497104
2025-02-06,0.7729731206836264,763.1344704257172,3917.9620306829665,3791.613808002688
2025-02-07,0.8123658569900977,470.13447042571715,4275.030213083862,3943.0230531361485
2025-02-10,0.7304034927237979,299.13447042571715,4506.8062131803135,3590.9214695619316
2025-02-11,0.7462876739924462,3628.8746571350675,0.0,3628.8746571350675
2025-02-12,0.7710669579917981,2184.8746571350675,1854.0024120903988,3614.4346571350675
2025-02-13,0.7147007452360328,1343.8746571350675,3018.9515261773495,3501.521562725478
2025-02-14,0.788040295942023,3699.139556717254,0.0,3699.139556717254
2025-02-18,0.8234394115830237,2305.139556717254,1675.9703028385527,3685.199556717254
2025-02-19,0.7769667413490969,1474.139556717254,2734.8187145112465,3599.0027415115833
2025-02-20,0.8027446036386532,3647.5469120711164,0.0,3647.5469120711164
2025-02-21,0.7705223796510099,2298.5469120711164,1733.2527065662753,3634.056912071116
2025-02-24,0.6836585333194769,3471.6503852817987,0.0,3471.6503852817987
2025-02-25,0.6439935078426116,1963.6503852817987,2318.222127737445,3456.5703852817987
2025-02-26,0.6289261940851457,3407.06109892526,0.0,3407.06109892526
2025-02-27,0.5788229092465842,1798.06109892526,2751.981607074583,3390.97109892526
2025-02-28,0.5526821793952615,3303.822579256378,0.0,3303.822579256378
2025-03-03,0.5072988043419806,1528.822579256378,3463.9348347752098,3286.072579256378
2025-03-04,0.5311703654406392,3350.3627159859852,0.0,3350.3627159859852
2025-03-05,0.7471045415036286,1477.3627159859852,2481.941812678693,3331.632715985985
2025-03-06,0.7781467534201844,890.3627159859852,3228.754669566886,3402.807679699718
2025-03-07,0.829520767220275,551.3627159859852,3633.3376688866374,3565.2917666511544
2025-03-10,0.7972078263421901,354.36271598598523,3877.979020307949,3445.9179413663014
2025-03-11,0.8049229170018063,3444.6221592330858,0.0,3444.6221592330858
2025-03-12,0.8287038997090926,2173.6221592330858,1518.3831045584664,3431.9121592330857
